Таблица1;Таблица2;Тип связи;Связь1
r2_ac_fin;ad_records;INNER;r2_ac_fin.c_main_v_id = ad_records.acc_ost
r2_ac_fin;z_r2_acc;LEFT;r2_ac_fin.c_unique_code = z_r2_acc.c_unique_code
r2_type_acc;z_r2_acc;LEFT;r2_type_acc.id = z_r2_acc.c_type_acc
z_r2_acc;r2_deposit;LEFT;z_r2_acc.c_product = r2_deposit.id
r2_vid_deposit;r2_deposit;LEFT;r2_vid_deposit.id = r2_deposit.c_vid_deposit
z_product;rsb_bo_iis;INNER;z_product.id = rsb_bo_iis.id
z_client;phyz_acc_ost;LEFT;z_client.id = phyz_acc_ost.cft_id
z_client;z_cl_group;LEFT;z_client.c_rsb_cl_cat = z_cl_group.id
move_month_ago;phyz_acc_ost;LEFT;move_month_ago.cft_id = phyz_acc_ost.cft_id
corpcard_ostatok;z_ac_fin;INNER;corpcard_ostatok.collection_id = z_ac_fin.c_arc_move
z_ac_fin;z_rko;INNER;z_ac_fin.id = z_rko.c_account
z_product;z_rko;INNER;z_product.id = z_rko.id
z_client;z_rko;INNER;z_client.id = z_rko.c_client
z_branch;z_product;INNER;z_branch.id = z_product.c_filial
z_rko_types;z_rko;INNER;z_rko_types.id = z_rko.c_rko_type
